ID,GENERO,ESTADO_CIVIL,EDAD,GRADO_INSTRUCCION,CONDICION_VIVIENDA,NUMERO_DEPENDIENTES,DPTO_DOMICILIO,ANTIGUEDAD_DOMICILIO,TIPO_TRABAJADOR,TIENE_VEHIVULO,LIQUIDEZDISPONIBLE,ACTIVIDAD_ECONOMICA,DEUDAS_NEGATIVAS,T_D_AC_VEN_MA30_3M,RT_N_ENT_M0_3M,ANTIGUEDAD_LABORAL,UTILIDADOPERATIVA,VENTASNETAS,ENDEUDAMIENTOPATRIMONIAL,MARGENOPERATIVO,CICLOFINANCIERO,SEGMENTO,TARGET
2183,M,C,67,PRIMARIA,PROPIO,2,CAJAMARCA,45,INDEPENDIENTE,False,505,VENTA AL POR MAYOR DE ANIMALES,0,1,0,5,590,30400,0.22,36.87,29.4,1,0
2184,F,S,23,MEDIO/SECUNDARIA,DE FAMILIAR,1,LIMA,6,INDEPENDIENTE,False,378.08,BODEGAS,0,1,0,5,768.08,5200,0.22,16.69,16.64,3,0
2185,F,S,44,MEDIO/SECUNDARIA,DE FAMILIAR,2,LIMA,16,INDEPENDIENTE,False,255,PANADERIA,0,0,0,5,1045,2700,0.22,37.32,90.41,3,0
2186,F,C,63,MEDIO/SECUNDARIA,PROPIO,0,SAN MARTIN,39,INDEPENDIENTE,False,577.6,BODEGAS,0,0,0,5,627.6,13750,0.22,10.25,8.18,2,0
2187,F,S,22,TECNICO,DE FAMILIAR,1,LAMBAYEQUE,16,INDEPENDIENTE,False,253,OTRAS ACTIVIDADES,0,1,0,2,733,5600,0.22,27.97,132.96,2,0
2188,M,S,36,MEDIO/SECUNDARIA,PROPIO,2,CUSCO,15,INDEPENDIENTE,False,2973,OTRAS ACTIVIDADES,0,0,0,5,5151,1380,0.18,41.04,30,3,0
2189,F,S,26,TECNICO,DE FAMILIAR,0,CUSCO,6,INDEPENDIENTE,False,570,OTRAS ACTIVIDADES,0,0,0,5,1140,2000,0.22,95,23.07,3,0
2190,F,S,37,MEDIO/SECUNDARIA,PROPIO,1,SAN MARTIN,11,INDEPENDIENTE,False,1587.6,BODEGAS,0,1,0,5,2437.6,20160,0.22,32.58,30,2,0
2191,F,S,21,MEDIO/SECUNDARIA,DE FAMILIAR,1,LIMA,5,INDEPENDIENTE,False,926.82,VENTA DE CARNE Y DERIVADOS,0,0,0,0,2074.24,2720,0.22,12.65,28.83,3,0
2192,M,S,56,MEDIO/SECUNDARIA,PROPIO,4,LA LIBERTAD,4,DEPENDIENTE,False,2565,VENTA AL POR MAYOR DE ANIMALES,0,0,0,6,2660,5823,0.22,22.16,33.85,3,0
2193,M,S,28,MEDIO/SECUNDARIA,DE FAMILIAR,0,CAJAMARCA,28,INDEPENDIENTE,False,500,VENTA DE PRODUCTOS LACTEOS,0,1,0,5,895,10584,0.22,78.5,3,1,0
2194,F,S,28,MEDIO/SECUNDARIA,DE FAMILIAR,2,CUSCO,0,INDEPENDIENTE,False,819.74,OTRAS ACTIVIDADES,0,0,0,5,594.74,37440,0.22,27.03,1.28,3,0
2195,F,S,40,MEDIO/SECUNDARIA,DE FAMILIAR,3,CAJAMARCA,8,INDEPENDIENTE,False,325,OTRAS ACTIVIDADES,0,1,0,5,580,1950,0.22,19.33,30,1,0
2196,F,S,24,MEDIO/SECUNDARIA,PROPIO,1,PIURA,3,INDEPENDIENTE,False,211.64,BODEGAS,0,0,0,5,391.64,2400,0.22,15.54,23.52,2,0
2197,F,S,33,MEDIO/SECUNDARIA,ALQUILADO,3,LAMBAYEQUE,1,INDEPENDIENTE,False,340,CRIA DE ANIMALES DOMESTICOS,0,1,0,5,645,12750,0.22,64.5,19.61,2,0
2198,F,C,33,MEDIO/SECUNDARIA,PROPIO,2,UCAYALI,5,INDEPENDIENTE,False,837.4,BODEGAS,0,0,0,5,1257.4,3660,0.49,29.1,46.53,3,0
2199,F,S,25,MEDIO/SECUNDARIA,ALQUILADO,1,CUSCO,2,INDEPENDIENTE,True,940,TRANSPORTE,0,0,0,3,1660,3460,0.22,47.42,2.27,3,0
2200,M,S,36,PRIMARIA,PROPIO,1,CAJAMARCA,10,INDEPENDIENTE,False,261,VENTA DE GRANOS,0,0,0,5,516,2100,0.22,26.87,30,1,0
2201,M,S,32,MEDIO/SECUNDARIA,DE FAMILIAR,0,CUSCO,10,INDEPENDIENTE,False,645,OTRAS ACTIVIDADES,0,1,0,10,1855,3640,0.22,57.96,1.26,3,0
2202,F,S,28,TECNICO,DE FAMILIAR,2,SAN MARTIN,4,INDEPENDIENTE,False,440,VENTA DE COMIDAS,0,1,0,5,1540,6000,0.22,41.39,30,2,1
2203,M,S,48,MEDIO/SECUNDARIA,DE FAMILIAR,1,UCAYALI,11,INDEPENDIENTE,False,447,TRANSPORTE,0,0,0,5,972,6000,0.22,69.42,18.32,3,0
2204,M,S,54,MEDIO/SECUNDARIA,ALQUILADO,1,PASCO,3,INDEPENDIENTE,False,499,PELUQUERIA,0,0,0,5,929,3900,0.22,23.45,39.21,2,0
2205,M,S,26,MEDIO/SECUNDARIA,PROPIO,1,PIURA,10,INDEPENDIENTE,False,465,VENTA DE ROPA -TEXTILES,0,0,0,5,1100,7000,0.22,39.28,56.9,2,0
2206,M,C,71,MEDIO/SECUNDARIA,PROPIO,1,LAMBAYEQUE,36,INDEPENDIENTE,False,1250,VENTA DE VERDURAS Y FRUTAS,0,0,0,5,3150,5000,0.22,8.46,120,2,0
2207,M,S,53,PRIMARIA,PROPIO,3,CAJAMARCA,20,INDEPENDIENTE,False,1519.26,VENTA AL POR MAYOR DE ANIMALES,0,0,0,5,1039.26,1680,0.22,6.57,30,1,0
2208,F,S,25,MEDIO/SECUNDARIA,DE FAMILIAR,0,PASCO,6,DEPENDIENTE,False,315,OTRAS ACTIVIDADES,0,1,0,5,720,6840,0.22,21.17,10.88,2,0
2209,F,S,27,MEDIO/SECUNDARIA,DE FAMILIAR,1,CUSCO,1,INDEPENDIENTE,True,576.87,VENTA DE COMIDAS,0,0,1,5,1860.73,5166.02,1.42,23.85,35.81,3,0
2210,M,S,22,MEDIO/SECUNDARIA,DE FAMILIAR,3,CAJAMARCA,16,INDEPENDIENTE,True,3250.3,VENTA DE VERDURAS Y FRUTAS,1,1,0,5,4000.3,18700,0.22,10.16,1.52,1,0
2211,F,C,49,MEDIO/SECUNDARIA,PROPIO,2,SAN MARTIN,3,INDEPENDIENTE,False,630,BODEGAS,0,0,0,5,1410,3800,0.5,32.41,182.79,2,0
2212,F,S,27,MEDIO/SECUNDARIA,PROPIO,1,HUANCAVELICA,16,INDEPENDIENTE,False,1442,CRIA DE ANIMALES DOMESTICOS,0,0,0,5,810,2400,0.22,28.52,33,1,0
2213,M,S,39,PRIMARIA,ALQUILADO,0,CAJAMARCA,6,INDEPENDIENTE,False,461.68,VENTA DE COMIDAS,0,0,0,5,606.68,4000,0.22,23.42,90,1,0
2214,M,S,47,MEDIO/SECUNDARIA,DE FAMILIAR,0,ANCASH,23,INDEPENDIENTE,False,2489,PRODUCCION LACTEOS Y DERIVADOS,0,0,0,5,3739,8500,0.22,23.9,87.31,3,0
2215,F,S,37,MEDIO/SECUNDARIA,DE FAMILIAR,2,AYACUCHO,6,INDEPENDIENTE,False,797,CRIA DE ANIMALES DOMESTICOS,0,1,0,5,1612,1400,0.02,13.12,30,3,0
2216,M,S,49,MEDIO/SECUNDARIA,PROPIO,4,CAJAMARCA,2,INDEPENDIENTE,False,418,CRIA DE ANIMALES DOMESTICOS,0,0,0,5,973,9200,0.22,57.23,77.75,1,0
2217,M,C,50,MEDIO/SECUNDARIA,DE FAMILIAR,2,LIMA,6,INDEPENDIENTE,True,1114.58,TRANSPORTE,0,0,1,5,1436.67,1400,0.05,32.95,30,3,0
2218,M,S,21,MEDIO/SECUNDARIA,DE FAMILIAR,1,LAMBAYEQUE,11,INDEPENDIENTE,False,570,OTRAS ACTIVIDADES,0,0,0,5,1370,1840,0.22,76.11,30,2,0
2219,F,S,35,PRIMARIA,PROPIO,3,PIURA,15,INDEPENDIENTE,False,164,VENTA DE PERFUMES,0,0,0,5,1095,1560,1.85,39.31,30,2,0
2220,F,S,33,MEDIO/SECUNDARIA,DE FAMILIAR,0,AMAZONAS,29,INDEPENDIENTE,False,160,TRANSPORTE,0,1,0,5,220,9600,0.22,24.17,11.53,1,1
2221,M,S,43,MEDIO/SECUNDARIA,PROPIO,2,PIURA,6,INDEPENDIENTE,False,706,BODEGAS,0,0,0,5,1056,31640,0.22,26.66,13.55,2,0
2222,M,S,47,PRIMARIA,DE FAMILIAR,4,CAJAMARCA,2,INDEPENDIENTE,False,583.34,OTRAS ACTIVIDADES,0,0,0,16,643.34,1520,0.22,3.17,12,1,0
2223,F,S,41,MEDIO/SECUNDARIA,PROPIO,2,CAJAMARCA,26,INDEPENDIENTE,False,944,VENTA DE PRODUCTOS LACTEOS,0,0,0,17,1009,3060,0.22,26.37,64.28,1,0
2224,M,S,45,UNIVERSITRARIO,PROPIO,2,CAJAMARCA,10,DEPENDIENTE,True,1300,OTRAS ACTIVIDADES,1,0,0,5,2100,3520,0.01,43.75,5.14,1,1
2225,M,S,35,UNIVERSITRARIO,DE FAMILIAR,1,LAMBAYEQUE,5,INDEPENDIENTE,False,420,OTRAS ACTIVIDADES,0,0,0,5,730,6040,0.22,56.15,9.16,2,0
2226,M,S,27,PRIMARIA,ALQUILADO,0,CAJAMARCA,11,INDEPENDIENTE,False,212.7,OTRAS ACTIVIDADES,0,0,0,5,697.7,14160,0.22,57.66,5.93,1,0
2227,M,S,26,TECNICO,DE FAMILIAR,1,ICA,16,DEPENDIENTE,True,650.5,TRANSPORTE,0,1,0,5,1846.5,8400,0.22,73.27,107.14,2,0
2228,F,S,30,MEDIO/SECUNDARIA,PROPIO,1,LORETO,8,INDEPENDIENTE,False,463.76,VENTA DE COMIDAS,0,0,0,5,1393.76,5985,0.22,33.24,16,3,1
2229,F,S,29,MEDIO/SECUNDARIA,PROPIO,3,CAJAMARCA,16,INDEPENDIENTE,False,820,CRIA DE ANIMALES DOMESTICOS,0,0,0,5,1320,10000,0.22,22.95,12,1,0
2230,M,S,42,MEDIO/SECUNDARIA,ALQUILADO,1,SAN MARTIN,2,INDEPENDIENTE,False,470,OTRAS ACTIVIDADES,0,0,0,5,1410,9800,0.22,36.15,15.94,2,0
2231,M,S,52,PRIMARIA,PROPIO,0,CAJAMARCA,14,INDEPENDIENTE,False,845,LICORERIA,0,0,0,5,600,3000,0.22,15,30,1,0
2232,M,C,33,TECNICO,PROPIO,2,CUSCO,6,INDEPENDIENTE,False,1477.8,TRANSPORTE,0,1,0,17,2940,2280,0.47,70,4.53,3,0
2233,F,S,31,MEDIO/SECUNDARIA,ALQUILADO,2,LIMA,13,INDEPENDIENTE,False,1957.12,VENTA DE ROPA -TEXTILES,0,0,0,5,3307.12,3300,0.22,18.79,36.19,3,0
2234,F,S,48,PRIMARIA,PROPIO,4,SAN MARTIN,16,INDEPENDIENTE,False,515.77,VENTA DE VERDURAS Y FRUTAS,0,0,0,5,415.77,2700,0.22,14.84,30,2,1
2235,F,S,49,MEDIO/SECUNDARIA,ALQUILADO,2,PIURA,6,INDEPENDIENTE,False,1545.83,VENTA DE VERDURAS Y FRUTAS,0,1,1,5,3105.83,2160,0.22,6.18,16.36,2,1
2236,F,S,47,PRIMARIA,PROPIO,1,CAJAMARCA,26,INDEPENDIENTE,False,604,VENTA AL POR MAYOR DE ANIMALES,0,0,0,27,814,3600,0.22,34.2,30,1,0
2237,M,S,28,TECNICO,PROPIO,2,CUSCO,16,INDEPENDIENTE,False,871.5,CRIA DE ANIMALES DOMESTICOS,0,0,0,6,1966.5,3100,0.22,15.22,98.8,3,0
2238,M,S,22,MEDIO/SECUNDARIA,PROPIO,1,LORETO,6,INDEPENDIENTE,False,667,VENTA DE PESCADOS Y MARISCOS,0,0,0,3,1762,6268,0.22,29.36,14.54,3,0
2239,M,S,49,MEDIO/SECUNDARIA,DE FAMILIAR,2,CAJAMARCA,36,INDEPENDIENTE,False,304,VENTA DE PRODUCTOS LACTEOS,0,0,0,5,850,4200,0.22,76.57,30,1,1
2240,M,S,55,MEDIO/SECUNDARIA,PROPIO,0,PIURA,16,INDEPENDIENTE,False,320,CULTIVOS AGRICOLAS,0,0,0,5,950,3400,0.22,26.38,41.5,2,0
2241,F,S,40,MEDIO/SECUNDARIA,ALQUILADO,2,LAMBAYEQUE,3,INDEPENDIENTE,False,610,VENTA DE COMIDAS,0,1,0,5,1360,18840,0.22,26.15,11.56,2,1
2242,M,S,47,PRIMARIA,DE FAMILIAR,1,CAJAMARCA,20,INDEPENDIENTE,False,605,OTRAS ACTIVIDADES,0,0,0,5,968,19500,0.22,80.66,2.15,1,0
2243,F,S,26,MEDIO/SECUNDARIA,ALQUILADO,1,CUSCO,1,INDEPENDIENTE,False,400,BODEGAS,0,0,0,5,1030,4200,0.22,16.09,30,3,0
2244,F,S,37,TECNICO,DE FAMILIAR,2,SAN MARTIN,11,INDEPENDIENTE,False,4115,OTRAS ACTIVIDADES,0,0,0,5,5180,3450,0.22,28.15,30,2,0
2245,F,S,37,MEDIO/SECUNDARIA,PROPIO,1,LIMA,6,INDEPENDIENTE,False,560,BODEGAS,0,0,0,5,490,5200,0.22,8.16,30,3,0
2246,F,C,48,PRIMARIA,DE FAMILIAR,1,LIMA,26,INDEPENDIENTE,False,420,BAZAR,0,0,0,5,1280,3900,0.22,80,55.06,3,0
2247,F,C,58,PRIMARIA,PROPIO,1,CAJAMARCA,1,INDEPENDIENTE,False,2160,VENTA DE PRODUCTOS LACTEOS,0,0,0,5,2455,10220,0.22,92.99,53.8,1,0
2248,F,S,31,TECNICO,PROPIO,3,JUNIN,6,INDEPENDIENTE,False,325.45,BODEGAS,0,0,0,5,685.45,20000,0.22,9.43,223.2,2,0
2249,F,S,40,MEDIO/SECUNDARIA,DE FAMILIAR,0,LIMA,26,INDEPENDIENTE,False,476.24,BODEGAS,0,1,1,5,990.27,10800,0.22,18.47,12.19,3,0
2250,F,C,55,MEDIO/SECUNDARIA,DE FAMILIAR,0,LIMA,14,INDEPENDIENTE,False,225.6,VENTA DE COMIDAS,0,0,0,5,915.6,5600,0.22,36.91,9.64,3,0
2251,F,S,34,MEDIO/SECUNDARIA,ALQUILADO,1,AREQUIPA,5,INDEPENDIENTE,False,1120,OTRAS ACTIVIDADES,0,0,0,5,1180,15680,0.22,29.5,39.22,3,0
2252,F,S,27,MEDIO/SECUNDARIA,PROPIO,0,PIURA,16,DEPENDIENTE,False,288,VENTA DE COMIDAS,0,0,0,5,318,34400,0.22,16.56,33.01,2,0
2253,F,C,62,OTRO,DE FAMILIAR,0,LAMBAYEQUE,15,INDEPENDIENTE,False,554,OTRAS ACTIVIDADES,0,0,0,5,514,6500,0.22,18.35,36,2,0
2254,M,S,28,MEDIO/SECUNDARIA,DE FAMILIAR,3,LIMA,2,INDEPENDIENTE,False,960.75,OTRAS ACTIVIDADES,0,1,0,5,1289.73,10364,0.22,5.97,41.31,3,0
2255,F,S,32,MEDIO/SECUNDARIA,ALQUILADO,2,HUANCAVELICA,4,INDEPENDIENTE,False,973.86,BODEGAS,0,0,0,5,1658.86,1960,0.22,34.55,25.47,1,0
2256,F,C,50,MEDIO/SECUNDARIA,PROPIO,4,PIURA,21,INDEPENDIENTE,False,855.2,BODEGAS,0,0,0,5,1275.2,31500,0.22,17.13,30,2,0
2257,M,S,35,PRIMARIA,PROPIO,2,CAJAMARCA,8,INDEPENDIENTE,False,298.4,OTRAS ACTIVIDADES,0,0,0,5,598.4,4560,0.22,65.61,11.24,1,0
2258,M,S,20,TECNICO,ALQUILADO,0,CAJAMARCA,3,INDEPENDIENTE,False,560,OTRAS ACTIVIDADES,0,1,0,2,1130,5720,0.22,25.68,70.42,1,0
2259,F,S,57,MEDIO/SECUNDARIA,DE FAMILIAR,1,SAN MARTIN,30,INDEPENDIENTE,False,1260,OTRAS ACTIVIDADES,0,0,0,19,1360,4560,0.22,26.15,13.28,2,0
2260,F,S,48,MEDIO/SECUNDARIA,PROPIO,0,CAJAMARCA,26,INDEPENDIENTE,False,968.9,VENTA DE PRODUCTOS LACTEOS,0,1,0,5,1319.9,1600,0.37,23.99,4.53,1,0
2261,M,S,38,MEDIO/SECUNDARIA,PROPIO,1,CAJAMARCA,6,INDEPENDIENTE,False,270,VENTA AL POR MAYOR DE ANIMALES,0,1,0,5,520,1360,0.22,17.33,95.74,1,0
2262,M,C,42,UNIVERSITRARIO,PROPIO,2,PIURA,16,INDEPENDIENTE,False,810,VENTA AL POR MAYOR DE ANIMALES,0,0,0,5,980,1920,0.22,17.19,25,2,0
2263,M,D,65,MEDIO/SECUNDARIA,PROPIO,3,PIURA,28,INDEPENDIENTE,False,936.69,VENTA DE PESCADOS Y MARISCOS,0,1,0,5,2016.69,8625,0.22,12.22,30,2,0
2264,M,S,38,TECNICO,ALQUILADO,0,LAMBAYEQUE,4,INDEPENDIENTE,False,4098,CONSTRUCCION DE OBRAS EN GENERAL,0,0,1,5,6348,3360,0.22,22.67,30,2,0
2265,F,S,64,MEDIO/SECUNDARIA,DE FAMILIAR,0,PASCO,10,INDEPENDIENTE,False,531.6,VENTA DE CARNE Y DERIVADOS,0,0,0,5,621.6,1980,0.22,47.74,28.07,2,0
2266,F,S,34,MEDIO/SECUNDARIA,DE FAMILIAR,3,JUNIN,11,INDEPENDIENTE,False,538.7,BODEGAS,1,0,0,5,906.7,3080,0.22,11.44,7.79,2,0
2267,F,S,57,MEDIO/SECUNDARIA,PROPIO,0,LIMA,26,INDEPENDIENTE,False,590.52,VENTA DE COMIDAS,0,0,0,5,622.8,17550,0.22,10.66,6.13,3,0
2268,F,S,55,MEDIO/SECUNDARIA,PROPIO,0,CAJAMARCA,24,INDEPENDIENTE,False,525.8,BODEGAS,0,1,0,5,555.8,7560,0.22,14.78,54.84,1,0
2269,F,C,45,OTRO,PROPIO,1,LIMA,16,DEPENDIENTE,False,1018,OTRAS ACTIVIDADES,0,1,0,17,580,1680,0.22,17.05,61.62,3,0
2270,F,S,22,UNIVERSITRARIO,DE FAMILIAR,2,PIURA,16,DEPENDIENTE,False,330,BODEGAS,0,0,0,5,790,2880,0.22,17.17,47.15,2,1
2271,M,C,55,MEDIO/SECUNDARIA,DE FAMILIAR,1,LIMA,16,INDEPENDIENTE,True,543.81,VENTA DE CARNE Y DERIVADOS,0,0,1,5,1143.81,4200,0.22,20.05,31.42,3,0
2272,M,C,65,MEDIO/SECUNDARIA,PROPIO,0,APURIMAC,16,INDEPENDIENTE,False,987.37,ABARROTE,0,0,0,5,1309.87,10100,0.22,25.78,15.69,3,1
2273,M,S,45,TECNICO,PROPIO,2,TACNA,7,INDEPENDIENTE,False,975,OTRAS ACTIVIDADES,0,0,0,5,1215,5420,0.22,33.2,3.32,2,0
2274,M,S,59,MEDIO/SECUNDARIA,DE FAMILIAR,1,ICA,16,INDEPENDIENTE,False,258,LICORERIA,0,0,0,6,1348,3360,0.22,23.79,4.12,2,0
2275,M,S,53,PRIMARIA,PROPIO,2,PIURA,19,INDEPENDIENTE,False,166,BODEGAS,0,0,0,5,545,1170,0.22,40.37,30,2,0
2276,F,C,49,PRIMARIA,PROPIO,0,PIURA,15,INDEPENDIENTE,False,399,CRIA DE ANIMALES DOMESTICOS,0,0,0,5,399,11800,0.22,17.19,126.54,2,0
2277,F,S,28,MEDIO/SECUNDARIA,DE FAMILIAR,2,AREQUIPA,16,INDEPENDIENTE,False,453,TRANSPORTE,0,1,0,5,888,5100,0.08,35.23,183.94,3,0
2278,F,S,25,MEDIO/SECUNDARIA,DE FAMILIAR,1,SAN MARTIN,25,INDEPENDIENTE,False,435,VENTA DE VERDURAS Y FRUTAS,0,0,0,5,1300,1500,0.22,40.62,112,2,0
2279,F,S,23,MEDIO/SECUNDARIA,PROPIO,1,CAJAMARCA,6,INDEPENDIENTE,False,400,VENTA DE PRODUCTOS LACTEOS,0,0,0,5,630,16800,0.22,84,140.3,1,0
2280,F,S,31,MEDIO/SECUNDARIA,DE FAMILIAR,1,CAJAMARCA,1,INDEPENDIENTE,False,495,BODEGAS,0,0,0,5,580,1900,0.22,18.12,53.55,1,0
2281,F,S,32,PRIMARIA,PROPIO,6,CAJAMARCA,25,INDEPENDIENTE,False,853,VENTA DE PRODUCTOS LACTEOS,0,0,0,5,1000,1120,0.22,83.33,30,1,0
2282,M,S,19,MEDIO/SECUNDARIA,DE FAMILIAR,1,SAN MARTIN,3,INDEPENDIENTE,False,240,TRANSPORTE,0,1,0,5,930,3960,0.22,55.35,41.33,2,0
2283,F,S,32,MEDIO/SECUNDARIA,DE FAMILIAR,1,LIMA,6,INDEPENDIENTE,False,319.2,BODEGAS,0,0,0,5,769.2,1140,0.22,13.06,12.66,3,0
2284,M,S,24,UNIVERSITRARIO,DE FAMILIAR,0,AYACUCHO,3,INDEPENDIENTE,False,924,ABARROTE,0,1,0,5,1334,6720,0.22,22.23,6.78,3,0
2285,F,S,40,TECNICO,PROPIO,0,LIMA,6,INDEPENDIENTE,False,210,OTRAS ACTIVIDADES,0,0,0,5,160,2750,0.22,4.57,132.17,3,0
2286,F,C,56,PRIMARIA,PROPIO,0,LIMA,26,INDEPENDIENTE,True,1218.8,VENTA DE VERDURAS Y FRUTAS,0,0,1,5,1918.8,1700,0.32,7.47,27.69,3,0
2287,M,S,20,MEDIO/SECUNDARIA,DE FAMILIAR,1,SAN MARTIN,16,INDEPENDIENTE,True,1360,TRANSPORTE,0,1,0,5,2000,3600,0.09,44.64,2.57,2,0
2288,M,S,21,MEDIO/SECUNDARIA,DE FAMILIAR,1,PASCO,4,INDEPENDIENTE,False,342,PANADERIA,0,1,0,5,782,3000,0.22,31.03,20,2,1
2289,M,C,41,TECNICO,PROPIO,2,LAMBAYEQUE,16,DEPENDIENTE,True,2120,OTRAS ACTIVIDADES,0,1,0,10,3520,2610,0.03,51.76,8.66,2,0
2290,F,C,38,MEDIO/SECUNDARIA,PROPIO,3,PIURA,21,INDEPENDIENTE,False,501,CRIA DE ANIMALES DOMESTICOS,0,0,0,5,1231,5790,0.22,50.86,36.42,2,0
2291,M,S,29,PRIMARIA,PROPIO,2,CAJAMARCA,11,INDEPENDIENTE,False,3020,PRODUCCION LACTEOS Y DERIVADOS,0,1,0,5,3770,5600,0.11,29,40.01,1,0
2292,M,S,28,PRIMARIA,DE FAMILIAR,0,PIURA,9,INDEPENDIENTE,False,262,OTRAS ACTIVIDADES,0,0,0,5,652,2000,0.22,54.33,30,2,0
2293,F,C,45,MEDIO/SECUNDARIA,PROPIO,2,PIURA,19,INDEPENDIENTE,False,419.78,BODEGAS,0,0,0,5,759.78,2500,0.04,24.99,64.28,2,0
2294,F,S,33,MEDIO/SECUNDARIA,DE FAMILIAR,0,CAJAMARCA,16,INDEPENDIENTE,False,540.52,BODEGAS,0,1,0,5,880.52,8000,0.22,17.4,91.07,1,0
2295,F,S,40,MEDIO/SECUNDARIA,DE FAMILIAR,0,CAJAMARCA,4,INDEPENDIENTE,False,528,ABARROTE,0,1,0,6,1078,15200,0.22,16.33,53.67,1,0
2296,M,S,45,MEDIO/SECUNDARIA,PROPIO,6,PIURA,18,INDEPENDIENTE,False,2365,OTRAS ACTIVIDADES,0,0,0,5,2345,4224,0.22,58.99,3.1,2,0
2297,M,C,48,MEDIO/SECUNDARIA,PROPIO,1,LAMBAYEQUE,17,INDEPENDIENTE,True,1015,OTRAS ACTIVIDADES,0,0,0,5,1900,4760,0.22,70.37,29.03,2,0
2298,M,S,56,TECNICO,PROPIO,1,HUANUCO,25,INDEPENDIENTE,False,1191,BODEGAS,0,0,0,5,1091,3230,0.22,28.71,51.92,1,0
2299,M,S,34,TECNICO,DE FAMILIAR,2,LIMA,6,INDEPENDIENTE,False,1272.4,OTRAS ACTIVIDADES,0,0,0,5,1480,1500,0.22,10.72,30,3,0
2300,M,S,28,PRIMARIA,PROPIO,3,CAJAMARCA,10,INDEPENDIENTE,False,480,VENTA DE PRODUCTOS LACTEOS,0,0,0,5,535,1296,0.22,81.06,93.78,1,0
2301,M,S,62,PRIMARIA,PROPIO,4,PIURA,26,INDEPENDIENTE,False,348,BODEGAS,0,0,0,5,718,6960,0.22,21.11,74.27,2,0
2302,M,S,32,PRIMARIA,DE FAMILIAR,1,LA LIBERTAD,6,INDEPENDIENTE,False,680,OTRAS ACTIVIDADES,0,0,0,6,1350,2340,0.22,33.75,30,3,0
2303,M,C,48,MEDIO/SECUNDARIA,PROPIO,2,LIMA,16,DEPENDIENTE,False,1418.42,OTRAS ACTIVIDADES,0,0,0,5,1645.2,1500,0.22,23.39,30,3,0
2304,F,S,20,MEDIO/SECUNDARIA,DE FAMILIAR,0,PASCO,11,INDEPENDIENTE,False,333.4,BODEGAS,0,0,0,5,698.4,4500,0.22,14.79,58.29,2,0
2305,F,S,33,MEDIO/SECUNDARIA,DE FAMILIAR,2,PASCO,6,INDEPENDIENTE,False,940.72,OTRAS ACTIVIDADES,0,1,0,5,1750.72,3728,0.29,31.26,11.67,2,0
2306,F,S,32,MEDIO/SECUNDARIA,ALQUILADO,0,LORETO,10,INDEPENDIENTE,False,502,OTRAS ACTIVIDADES,0,1,0,5,2390,1485,0.22,26.55,4.04,3,1
2307,M,S,35,UNIVERSITRARIO,DE FAMILIAR,0,HUANCAVELICA,16,INDEPENDIENTE,False,295,CRIA DE ANIMALES DOMESTICOS,0,0,0,5,750,11666,0.22,23.43,28.27,1,0
2308,M,S,53,MEDIO/SECUNDARIA,DE FAMILIAR,1,LAMBAYEQUE,12,INDEPENDIENTE,False,1051,CRIA DE ANIMALES DOMESTICOS,0,0,0,5,2200,18720,0.22,48.88,30,2,0
2309,F,S,48,PRIMARIA,DE FAMILIAR,0,CAJAMARCA,10,INDEPENDIENTE,False,1178.51,BODEGAS,0,0,0,5,1559.51,3190,0.22,19.99,41.08,1,0
2310,F,S,54,TECNICO,PROPIO,1,PIURA,24,INDEPENDIENTE,False,630.6,OTRAS ACTIVIDADES,0,0,0,5,1010.6,2240,0.22,37.29,30,2,0
2311,M,S,54,MEDIO/SECUNDARIA,PROPIO,2,CAJAMARCA,16,INDEPENDIENTE,False,530,VENTA AL POR MAYOR DE ANIMALES,0,1,0,11,660,16200,0.22,7.25,75.15,1,0
2312,F,S,48,MEDIO/SECUNDARIA,PROPIO,1,ICA,16,INDEPENDIENTE,True,311.63,BODEGAS,0,0,0,5,1341.63,1050,0.22,32.89,30,2,0
2313,M,S,36,UNIVERSITRARIO,DE FAMILIAR,0,SAN MARTIN,1,DEPENDIENTE,False,891.6,OTRAS ACTIVIDADES,0,1,0,5,1320,7650,0.16,52.8,30,2,0
2314,F,S,27,MEDIO/SECUNDARIA,DE FAMILIAR,1,LIMA,6,INDEPENDIENTE,False,426,VENTA DE ROPA -TEXTILES,0,1,0,5,156.67,3120,0.22,4.12,1.81,3,0
2315,M,S,35,MEDIO/SECUNDARIA,PROPIO,2,PIURA,6,INDEPENDIENTE,False,970,TRANSPORTE,0,0,0,6,1810,3200,0.22,72.4,9.78,2,0
2316,F,S,49,PRIMARIA,DE FAMILIAR,2,LORETO,1,INDEPENDIENTE,False,214.6,VENTA DE PESCADOS Y MARISCOS,0,0,0,5,264.6,5400,0.22,5.37,2.12,3,0
2317,M,S,43,MEDIO/SECUNDARIA,DE FAMILIAR,1,LAMBAYEQUE,16,INDEPENDIENTE,False,290,CONSTRUCCION DE OBRAS EN GENERAL,0,0,0,5,740,3840,0.22,37,80.43,2,0
2318,F,S,60,PRIMARIA,PROPIO,0,PIURA,19,INDEPENDIENTE,False,422,OTRAS ACTIVIDADES,0,0,0,5,1072,4320,0.22,62.32,7.14,2,0
